frame_no,timestamp_sec,track_id,class_name,confidence,x1,y1,x2,y2,center_x,center_y,count_mode,event_type,line_index,counted,motion_state,avg_per_frame,displacement,moving,in_roi
32,1.0667,38,truck,0.4067,663,499,1080,642,871.5,570.5,multiline,none,-1,False,recently_moving,3.77,32.36,True,True
32,1.0667,59,car,0.8293,0,532,67,627,33.5,579.5,multiline,none,-1,False,recently_moving,1.83,18.93,True,True
32,1.0667,37,car,0.8338,1267,589,1457,665,1362.0,627.0,multiline,none,-1,False,recently_moving,2.9,31.75,True,True
32,1.0667,70,person,0.5509,296,489,315,528,305.5,508.5,multiline,none,-1,False,recently_moving,0.46,2.28,True,True
32,1.0667,75,person,0.4505,1738,230,1749,252,1743.5,241.0,multiline,none,-1,False,insufficient_data,0.0,0.0,False,True
33,1.1,1,person,0.8393,761,392,778,431,769.5,411.5,multiline,none,-1,False,recently_moving,0.49,5.27,True,True
33,1.1,38,truck,0.6397,666,499,1078,642,872.0,570.5,multiline,none,-1,False,recently_moving,3.73,26.8,True,True
33,1.1,59,car,0.7108,0,532,70,629,35.0,580.5,multiline,none,-1,False,recently_moving,1.9,19.89,True,True
33,1.1,37,car,0.8548,1264,588,1453,665,1358.5,626.5,multiline,none,-1,False,recently_moving,2.93,32.08,True,True
33,1.1,70,person,0.4429,295,489,314,529,304.5,509.0,multiline,none,-1,False,recently_moving,0.55,3.25,True,True
33,1.1,75,person,0.3134,1738,230,1749,251,1743.5,240.5,multiline,none,-1,False,insufficient_data,0.0,0.0,False,True
34,1.1333,1,person,0.8416,762,392,779,431,770.5,411.5,multiline,none,-1,False,recently_moving,0.49,5.33,True,True
34,1.1333,38,truck,0.5949,661,499,1076,642,868.5,570.5,multiline,none,-1,False,recently_moving,3.4,22.31,True,True
34,1.1333,59,car,0.7854,0,533,74,630,37.0,581.5,multiline,none,-1,False,recently_moving,1.98,20.8,True,True
34,1.1333,37,car,0.8544,1262,588,1450,666,1356.0,627.0,multiline,none,-1,False,recently_moving,2.93,32.13,True,True
34,1.1333,70,person,0.6221,294,489,314,530,304.0,509.5,multiline,none,-1,False,recently_moving,0.59,4.07,True,True
34,1.1333,75,person,0.3198,1738,230,1749,251,1743.5,240.5,multiline,none,-1,False,insufficient_data,0.0,0.0,False,True
35,1.1667,1,person,0.8243,763,392,779,431,771.0,411.5,multiline,none,-1,False,recently_moving,0.51,5.51,True,True
35,1.1667,38,truck,0.6437,655,499,1074,642,864.5,570.5,multiline,none,-1,False,recently_moving,3.04,18.34,True,True
35,1.1667,59,truck,0.6774,0,529,78,631,39.0,580.0,multiline,none,-1,False,recently_moving,2.03,21.29,True,True
35,1.1667,37,car,0.8244,1259,588,1447,666,1353.0,627.0,multiline,none,-1,False,recently_moving,2.95,32.33,True,True
35,1.1667,70,person,0.5604,293,488,313,532,303.0,510.0,multiline,none,-1,False,recently_moving,0.63,4.97,True,True
36,1.2,1,person,0.8247,763,392,780,431,771.5,411.5,multiline,none,-1,False,recently_moving,0.51,5.47,True,True
36,1.2,38,truck,0.6703,650,499,1073,642,861.5,570.5,multiline,none,-1,False,recently_moving,2.73,14.87,True,True
36,1.2,59,car,0.6497,0,525,81,632,40.5,578.5,multiline,none,-1,False,recently_moving,2.04,21.45,True,True
36,1.2,37,car,0.8436,1256,588,1443,666,1349.5,627.0,multiline,none,-1,False,recently_moving,2.99,32.78,True,True
36,1.2,70,person,0.6972,292,488,313,533,302.5,510.5,multiline,none,-1,False,recently_moving,0.65,5.76,True,True
37,1.2333,1,person,0.7889,764,392,781,430,772.5,411.0,multiline,none,-1,False,recently_moving,0.53,5.68,True,True
37,1.2333,38,truck,0.5403,644,499,1072,642,858.0,570.5,multiline,none,-1,False,recently_moving,2.55,12.98,True,True
37,1.2333,59,truck,0.3406,0,522,85,633,42.5,577.5,multiline,none,-1,False,recently_moving,2.05,21.55,True,True
37,1.2333,37,car,0.831,1254,588,1440,666,1347.0,627.0,multiline,none,-1,False,recently_moving,3.02,33.06,True,True
37,1.2333,70,person,0.5594,290,488,313,534,301.5,511.0,multiline,none,-1,False,recently_moving,0.68,6.66,True,True
38,1.2667,1,person,0.7821,765,392,781,430,773.0,411.0,multiline,none,-1,False,recently_moving,0.55,5.88,True,True
